time_sec,altitude_agl_ft,altitude_msl_ft,airspeed_kt,groundspeed_kt,vertical_speed_fpm,pitch_deg,roll_deg,yaw_deg,throttle,elevator,aileron,rudder,engine_rpm,fuel_flow
59.60999999999671,4.31710636074253,4.317128904163837,16.492775781676162,16.49382290130154,-0.020232912891717802,0.47712223380665897,0.28107549021820777,50.28752571426471,0.9,0.0,0.0,0.0,0.0,0.0
59.70999999999669,4.317072711625556,4.317095249891281,16.44691185347317,16.447956055151394,-0.020149686805501776,0.4757164059263372,0.2810654840359473,50.28566275116563,0.9,0.0,0.0,0.0,0.0,0.0
59.80999999999667,4.3170391993816795,4.317061737179756,16.401069839371353,16.402111124543666,-0.02006465118942813,0.4743147644300646,0.2810555555717133,50.283813677638285,0.9,0.0,0.0,0.0,0.0,0.0
59.90999999999665,4.317005830528199,4.3170283660292625,16.355249666673817,16.35628803349555,-0.019981637525743334,0.4729172838245211,0.2810456927895377,50.281978433464054,0.9,0.0,0.0,0.0,0.0,0.0
60.00999999999663,4.316972592030512,4.3169951364398,16.309451271533465,16.310486724733803,-0.019899065003115557,0.47152396071544045,0.28103589586712857,50.280156966307665,0.9,0.0,0.0,0.0,0.0,0.0
60.10999999999661,4.316939500181877,4.316962040960789,16.26367458033564,16.264707121355066,-0.019815584909229633,0.4701348049666993,0.28102615849737905,50.27834921573263,0.9,0.0,0.0,0.0,0.0,0.0
60.20999999999659,4.31690654520633,4.3169290870428085,16.217919523729137,16.218949153991733,-0.019733695280848007,0.4687498077199945,0.281016466993876,50.27655512402713,0.9,0.0,0.0,0.0,0.0,0.0
60.30999999999657,4.31687372710387,4.316896267235279,16.17218602782626,16.17321274544865,-0.019649804465320386,0.4673689634801534,0.28100684144991545,50.274774630126174,0.9,0.0,0.0,0.0,0.0,0.0
60.40999999999655,4.316841049133141,4.316863585263491,16.126474030601777,16.127497840315524,-0.019568792318342965,0.46599226216374845,0.2809972945291966,50.27300768110445,0.9,0.0,0.0,0.0,0.0,0.0
60.50999999999653,4.316808504776839,4.316831041127443,16.080783458288103,16.081804361500375,-0.01948650820966291,0.4646197098787635,0.28098781490801217,50.27125421613684,0.9,0.0,0.0,0.0,0.0,0.0
60.60999999999651,4.316776094034962,4.316798631101847,16.035114241643882,16.03613223977601,-0.01940419483679512,0.46325130350565896,0.28097840011836084,50.26951417697834,0.9,0.0,0.0,0.0,0.0,0.0
60.70999999999649,4.3167438169075085,4.316766358911991,15.989466308515375,15.9904813997446,-0.019323690380600445,0.4618870337209495,0.280969049235996,50.2677875025739,0.9,0.0,0.0,0.0,0.0,0.0
60.80999999999647,4.316711686429084,4.316734220832586,15.943839595434609,15.94485178438534,-0.019241993326445384,0.46052689805105995,0.2809597641062465,50.26607413985711,0.9,0.0,0.0,0.0,0.0,0.0
60.90999999999645,4.316679679789114,4.316702216863632,15.898234030221232,15.899243318306114,-0.01916026822492589,0.45917089158184043,0.28095053817268506,50.26437402769889,0.9,0.0,0.0,0.0,0.0,0.0
61.00999999999643,4.316647806763554,4.316670347005129,15.852649544483247,15.85365593307562,-0.019081255890149307,0.45781900927045033,0.2809413654473444,50.26268710760889,0.9,0.0,0.0,0.0,0.0,0.0
61.10999999999641,4.316616073869717,4.316638611257076,15.80708606549789,15.8080895527728,-0.019002263284554344,0.45647125950663847,0.2809322522430313,50.26101331812602,0.9,0.0,0.0,0.0,0.0,0.0
61.20999999999639,4.31658446807298,4.316607002168894,15.761543530512402,15.762544121066215,-0.01892184048274459,0.4551276421832001,0.28092320948569943,50.25935260580493,0.9,0.0,0.0,0.0,0.0,0.0
61.30999999999637,4.316552999149289,4.316575538367033,15.71602186787979,15.717019563102943,-0.018841629912931812,0.4537881370638166,0.2809142358980428,50.257704909071634,0.9,0.0,0.0,0.0,0.0,0.0
61.40999999999635,4.316521657322704,4.316544197499752,15.670521008927409,15.671515810188621,-0.01876137694930391,0.4524527398586828,0.28090532540176355,50.2560701691769,0.9,0.0,0.0,0.0,0.0,0.0
61.50999999999633,4.31649045888647,4.316512994468212,15.6250408820164,15.626032787477424,-0.018681478165118448,0.451121443559987,0.28089647125799366,50.254448324599984,0.9,0.0,0.0,0.0,0.0,0.0
61.60999999999631,4.316459390805979,4.316481921821833,15.57958142562637,15.580570439872364,-0.018604186154416724,0.4497942439580666,0.2808876769168305,50.252839321849706,0.9,0.0,0.0,0.0,0.0,0.0
61.70999999999629,4.3164284465639176,4.316450983285904,15.534142567630393,15.535128692005713,-0.018526531902216536,0.4484711540053397,0.2808789453191495,50.25124309914402,0.9,0.0,0.0,0.0,0.0,0.0
61.80999999999627,4.3163976326776075,4.316420167684555,15.488724239395037,15.489707475265313,-0.018446881646014268,0.4471521785117066,0.2808702835136356,50.24965959732595,0.9,0.0,0.0,0.0,0.0,0.0
61.90999999999625,4.316366949147016,4.316389486193657,15.443326370249283,15.444306715850002,-0.018367868827566247,0.4458372948264119,0.28086168722922883,50.24808875463408,0.9,0.0,0.0,0.0,0.0,0.0
62.00999999999623,4.316336402489454,4.3163589425385,15.397948898860173,15.398926358657782,-0.01829168447529783,0.44452648790460075,0.2808531485642694,50.246530517436184,0.9,0.0,0.0,0.0,0.0,0.0
62.10999999999621,4.316305979670328,4.316328514367342,15.352591753611495,15.353566328952235,-0.018215324036269243,0.4432197787379302,0.28084466279368764,50.244984824015184,0.9,0.0,0.0,0.0,0.0,0.0
62.20999999999619,4.316275687206925,4.316298224031925,15.30725486625718,15.308226558461994,-0.01813699708827332,0.44191716311476065,0.2808362364251179,50.24345161508424,0.9,0.0,0.0,0.0,0.0,0.0
62.30999999999617,4.316245521840583,4.316268064081669,15.261938170078432,15.262906980478494,-0.01806129937202139,0.44061862629982174,0.28082787221357,50.24193083132556,0.9,0.0,0.0,0.0,0.0,0.0
62.40999999999615,4.316215486829971,4.316238023340702,15.216641593362898,15.2176075202393,-0.01798341023042327,0.43932417120242445,0.2808195683646178,50.24042241081154,0.9,0.0,0.0,0.0,0.0,0.0
62.50999999999613,4.316185578916414,4.316208116710186,15.171365075052629,15.172328122787453,-0.017905338572156704,0.43803378008845706,0.2808113293951707,50.238926299546584,0.9,0.0,0.0,0.0,0.0,0.0
62.60999999999611,4.316155798099917,4.31617833673954,15.126108545362237,15.12706871525979,-0.01782992881465828,0.4367474445637804,0.2808031477940768,50.2374424356253,0.9,0.0,0.0,0.0,0.0,0.0
62.70999999999609,4.316126144380483,4.316148683428764,15.080871936359186,15.081829229748218,-0.0177544435736654,0.4354651717486637,0.280795026690811,50.235970759699434,0.9,0.0,0.0,0.0,0.0,0.0
62.80999999999607,4.316096614499453,4.316119153052568,15.0356551805387,15.036609598729362,-0.017677658547729513,0.43418696569560167,0.28078696468186615,50.23451121244318,0.9,0.0,0.0,0.0,0.0,0.0
62.90999999999605,4.316067218232772,4.316089753061533,14.990458208238634,14.991409749473357,-0.01760197633733751,0.4329128072800668,0.28077896241446726,50.23306373173423,0.9,0.0,0.0,0.0,0.0,0.0
63.00999999999603,4.3160379425458375,4.316060476005077,14.945280958626618,14.946229627254993,-0.017527644275370236,0.4316426999060591,0.2807710274092024,50.23162826353891,0.9,0.0,0.0,0.0,0.0,0.0
63.10999999999601,4.316008793955946,4.316031329333782,14.900123361251332,14.901069158592128,-0.017452732534742887,0.4303766504778897,0.2807631485496812,50.23020474590596,0.9,0.0,0.0,0.0,0.0,0.0
63.20999999999599,4.315979769204455,4.316002301871777,14.854985349468365,14.85592827681404,-0.01737799362689696,0.42911465669359544,0.2807553190887295,50.228793119575805,0.9,0.0,0.0,0.0,0.0,0.0
63.30999999999597,4.315950865032694,4.315973401069641,14.809866856366146,14.810806914993526,-0.017302744489763877,0.4278567090576891,0.2807475480754291,50.227393325017864,0.9,0.0,0.0,0.0,0.0,0.0
63.409999999995954,4.3159220912166205,4.315944619476795,14.764767812624184,14.765705000833176,-0.017228334701879233,0.4266027979235418,0.280739829380836,50.22600530017882,0.9,0.0,0.0,0.0,0.0,0.0
63.509999999995934,4.315893444497577,4.31591597571969,14.71968815776378,14.720622479817324,-0.01715526872251738,0.42535291969937983,0.2807321643291562,50.224628991056285,0.9,0.0,0.0,0.0,0.0,0.0
63.609999999995914,4.315864918358266,4.315887443721294,14.674627822276424,14.67555927946211,-0.017083140437421096,0.42410708533287794,0.2807245635630505,50.22326433537405,0.9,0.0,0.0,0.0,0.0,0.0
63.709999999995894,4.315836503022723,4.315859034657478,14.629586738725587,14.630515332298694,-0.017007106595938182,0.4228652900159543,0.2807170311580148,50.22191127364185,0.9,0.0,0.0,0.0,0.0,0.0
63.809999999995874,4.315808218042856,4.315830748528242,14.584564841663076,14.585490572882822,-0.01693128347236006,0.42162750445213976,0.28070955897590505,50.22056974655951,0.9,0.0,0.0,0.0,0.0,0.0
63.909999999995854,4.315780053642702,4.315802592784166,14.539562062365032,14.540484929574253,-0.016857434906007995,0.420393709586139,0.28070214082828193,50.21923969213681,0.9,0.0,0.0,0.0,0.0,0.0
64.00999999999584,4.315752022856875,4.31577455624938,14.494578341349978,14.495498348749132,-0.016788388752603245,0.41916392299858424,0.28069477201214943,50.21792105655021,0.9,0.0,0.0,0.0,0.0,0.0
64.10999999999589,4.315724099616154,4.315746631473303,14.4496136082681,14.45053075708719,-0.016717346675980127,0.4179381800649084,0.28068744571169235,50.216613777913196,0.9,0.0,0.0,0.0,0.0,0.0
64.20999999999594,4.315696296955144,4.315718833357096,14.404667796874492,14.405582088387677,-0.016643269002393213,0.41671647452629573,0.2806801767681165,50.215317796664735,0.9,0.0,0.0,0.0,0.0,0.0
64.309999999996,4.31566862139114,4.315691150724888,14.359740842083482,14.360652277500817,-0.0165693963039365,0.41549877789558887,0.28067297203610514,50.21403305329995,0.9,0.0,0.0,0.0,0.0,0.0
64.40999999999605,4.31564106314819,4.31566359475255,14.314832678477563,14.315741259050759,-0.01649720315921921,0.41428506599942905,0.2806658249229767,50.21275948858421,0.9,0.0,0.0,0.0,0.0,0.0
64.5099999999961,4.31561363200224,4.315636157989502,14.269943237613692,14.270848961690117,-0.016426755181522812,0.41307533920765516,0.28065873676986025,50.211497040537594,0.9,0.0,0.0,0.0,0.0,0.0
64.60999999999615,4.315586308401381,4.315608844161034,14.22507245924581,14.225975330953718,-0.01635572462037327,0.41186961636233727,0.2806517027704155,50.21024565544157,0.9,0.0,0.0,0.0,0.0,0.0
64.7099999999962,4.315559105380224,4.315581638365984,14.180220274977463,14.181120295533962,-0.016283926989885678,0.4106678960953463,0.2806447172316981,50.2090052714939,0.9,0.0,0.0,0.0,0.0,0.0
64.80999999999625,4.315532022938757,4.315554555505514,14.13538661954294,14.13628379020052,-0.016211892432037023,0.4094701641381288,0.280637790169183,50.20777582934902,0.9,0.0,0.0,0.0,0.0,0.0
64.9099999999963,4.315505064335625,4.315527595579624,14.090571427875833,14.091465749828155,-0.016140420208236028,0.4082764070220228,0.2806309166040478,50.206557269909084,0.9,0.0,0.0,0.0,0.0,0.0
65.00999999999635,4.315478226312179,4.315500754863024,14.045774635407039,14.046666109849372,-0.016071964706766972,0.4070866244583043,0.280624090956101,50.205349534168164,0.9,0.0,0.0,0.0,0.0,0.0
65.1099999999964,4.315451495833814,4.315474025905132,14.000996173389604,14.001884798753151,-0.016002660926370815,0.4059008353512322,0.28061732128041095,50.20415256028145,0.9,0.0,0.0,0.0,0.0,0.0
65.20999999999646,4.31542488593513,4.31544741243124,13.956235982268232,13.957121762538895,-0.015931653935740142,0.40471904083233806,0.2806106072912413,50.20296629458301,0.9,0.0,0.0,0.0,0.0,0.0
65.3099999999965,4.315398396616117,4.315420925617218,13.911493994647671,13.91237693105037,-0.015860744045270714,0.4035412191689269,0.2806039479073237,50.201790675396126,0.9,0.0,0.0,0.0,0.0,0.0
65.40999999999656,4.315372021359479,4.315394546836615,13.866770146079539,13.867650239786522,-0.015791307628482687,0.4023673579019037,0.28059734654957436,50.20062564371784,0.9,0.0,0.0,0.0,0.0,0.0
65.50999999999661,4.315345756906558,4.3153682835400105,13.822064371367885,13.822941623583617,-0.015721306605314678,0.4011974585854164,0.28059079969968903,50.199471145735686,0.9,0.0,0.0,0.0,0.0,0.0
65.60999999999666,4.315319613033303,4.315342139452696,13.777376605968279,13.778251017865943,-0.01565115616240509,0.40003151461660214,0.2805843069364177,50.19832711752883,0.9,0.0,0.0,0.0,0.0,0.0
65.70999999999671,4.315293579963758,4.3153161108493805,13.732706783133995,13.733578353162935,-0.015583468191913141,0.3988695198428571,0.2805778554931074,50.1971934972874,0.9,0.0,0.0,0.0,0.0,0.0
65.80999999999676,4.315267667473876,4.315290197730064,13.688054843409812,13.688923575476492,-0.015515545235322281,0.39771148582831656,0.28057145463940736,50.19607023162175,0.9,0.0,0.0,0.0,0.0,0.0
65.90999999999681,4.315241865787701,4.315264392644167,13.643420719424011,13.64428661474915,-0.015446760491693023,0.3965574142770021,0.28056510057761974,50.194957259261415,0.9,0.0,0.0,0.0,0.0,0.0
66.00999999999686,4.315216181422536,4.315238706767559,13.598804346618863,13.599667406322332,-0.01537564438007677,0.3954072933144168,0.28055879400162026,50.1938545216378,0.9,0.0,0.0,0.0,0.0,0.0
66.10999999999692,4.31519061437836,4.315213140100241,13.554205661649183,13.555065886930677,-0.015306620435013851,0.3942610968074783,0.28055254560919646,50.19276196002346,0.9,0.0,0.0,0.0,0.0,0.0
66.20999999999697,4.315165158137882,4.315187688916922,13.509624601000814,13.51048199300528,-0.01524179968550421,0.3931188302690862,0.2805463458111759,50.19167951611336,0.9,0.0,0.0,0.0,0.0,0.0
66.30999999999702,4.315139809442455,4.315162338316441,13.465061099365192,13.465915659249942,-0.015175359534246868,0.3919805258319495,0.28054020111349925,50.19060713147024,0.9,0.0,0.0,0.0,0.0,0.0
66.40999999999707,4.315114574809372,4.315137103199959,13.420515090080949,13.421366816274398,-0.015107475891078526,0.39084617920911957,0.2805341149853484,50.18954474498276,0.9,0.0,0.0,0.0,0.0,0.0
66.50999999999712,4.315089454238622,4.315111987292767,13.375986514609258,13.376835411002844,-0.015038054358640918,0.38971576566585975,0.28052808759404463,50.18849230377609,0.9,0.0,0.0,0.0,0.0,0.0
66.60999999999717,4.315064441212907,4.315086971968412,13.331475306746611,13.332321374478031,-0.014968309842556815,0.388589263520949,0.28052210622621765,50.18744974713085,0.9,0.0,0.0,0.0,0.0,0.0
66.70999999999722,4.315039548766825,4.315062075853348,13.28698140344718,13.287824643655133,-0.014901305178796065,0.38746665482636133,0.2805161627354715,50.1864170170535,0.9,0.0,0.0,0.0,0.0,0.0
66.80999999999727,4.3150147671244214,4.315037298947573,13.242504741116646,13.243345154924086,-0.014836641853398502,0.38634796212422123,0.28051025450729905,50.18539405558168,0.9,0.0,0.0,0.0,0.0,0.0
66.90999999999732,4.314990096285699,4.315012626349926,13.198045255585386,13.198882844140778,-0.014771559731946438,0.3852332080884888,0.2805043940855472,50.18438080455587,0.9,0.0,0.0,0.0,0.0,0.0
67.00999999999738,4.314965532992002,4.314988058060408,13.153602883059802,13.154437647460734,-0.014704394207147864,0.3841223920095768,0.2804985795233353,50.183377206062836,0.9,0.0,0.0,0.0,0.0,0.0
67.10999999999743,4.314941080501969,4.314963608980179,13.109177560555684,13.110009501958565,-0.01463736234060209,0.3830154907405752,0.2804928303004354,50.18238320193208,0.9,0.0,0.0,0.0,0.0,0.0
